country,year,"GNI per capita, Atlas method (current US$)","Population, total",Surface area (sq. km),Population living in slums (% of urban population),hie,near_2_plus_oceans,border_count,size
Marshall Islands,2002,3100.0,51425.0,180.0,2.2,False,False,0.0,small
Mauritania,2002,660.0,2738655.0,1030700.0,81.3166,False,False,4.0,small
Mauritius,2002,4010.0,1204621.0,2040.0,74.76156,False,False,0.0,small
Mexico,2002,7490.0,101548624.0,1964380.0,30.44793,False,True,3.0,large
Moldova,2002,590.0,2911385.0,33840.0,23.7,False,False,2.0,small
Mongolia,2002,530.0,2449027.0,1564120.0,53.63156,False,False,2.0,small
Montenegro,2002,1970.0,609828.0,13810.0,19.1,False,False,4.0,small
Morocco,2002,1550.0,29198142.0,446550.0,30.36674,False,False,3.0,large
Mozambique,2002,300.0,18958338.0,799380.0,86.58183,False,False,6.0,large
Myanmar,2002,170.0,46232653.0,676590.0,32.60843,False,False,5.0,large
Namibia,2002,1970.0,1889970.0,824290.0,42.4078,False,False,4.0,small
Nauru,2002,2500.0,10082.0,20.0,3.15,False,False,0.0,small
Nepal,2002,230.0,25328981.0,147180.0,63.41828,False,False,2.0,large
Netherlands,2002,26440.0,16148929.0,41530.0,0.0,True,False,2.0,large
New Zealand,2002,14170.0,3948500.0,267710.0,0.0,True,False,0.0,small
Nicaragua,2002,980.0,5149909.0,130370.0,70.33595,False,True,2.0,medium
Niger,2002,220.0,12349144.0,1267000.0,70.09604,False,False,7.0,medium
North Macedonia,2002,1850.0,2020157.0,25710.0,1.3,False,False,4.0,small
Norway,2002,39930.0,4538159.0,385178.0,0.0,True,True,3.0,medium
Oman,2002,9210.0,2337140.0,309500.0,4.0,True,False,3.0,small
Pakistan,2002,600.0,163222549.0,796100.0,69.69687,False,False,4.0,large
Palau,2002,7740.0,19503.0,460.0,1.95,False,False,0.0,small
Panama,2002,3890.0,3129344.0,75420.0,44.36462,False,True,2.0,small
Papua New Guinea,2002,490.0,5924003.0,462840.0,19.75,False,False,1.0,medium
Paraguay,2002,1400.0,5261328.0,406750.0,39.03,False,False,3.0,medium
Peru,2002,1940.0,27288217.0,1285220.0,45.56432,False,False,5.0,large
Philippines,2002,1110.0,83068889.0,300000.0,48.56749,False,False,0.0,large
Poland,2002,4890.0,38230364.0,312690.0,1.8,False,False,7.0,large
Portugal,2002,11780.0,10419631.0,92120.0,1.1,True,False,1.0,medium
Romania,2002,1950.0,21730496.0,238390.0,3.65,False,False,5.0,large
Russia,2002,2100.0,145306497.0,17098240.0,3.55,False,True,14.0,large
Rwanda,2002,260.0,8400180.0,26340.0,67.93933,False,False,4.0,medium
Samoa,2002,1420.0,184471.0,2840.0,4.55,False,False,0.0,small
Senegal,2002,610.0,10466214.0,196710.0,63.59985,False,False,5.0,medium
Serbia,2002,1610.0,7500031.0,88360.0,0.65,False,False,8.0,medium
Seychelles,2002,7330.0,83723.0,460.0,74.76156,False,False,0.0,small
Sierra Leone,2002,260.0,4971435.0,72300.0,73.9,False,False,2.0,medium
Singapore,2002,22000.0,4175950.0,685.0,0.0,True,False,0.0,small
Slovakia,2002,6020.0,5376912.0,49030.0,0.05,False,False,5.0,medium
Solomon Islands,2002,790.0,457671.0,28900.0,10.4,False,False,0.0,small
Somalia,2002,270.0,9550063.0,637660.0,74.76156,False,False,3.0,medium
South Africa,2002,2870.0,48019415.0,1219090.0,27.22887,False,True,6.0,large
Sri Lanka,2002,820.0,19805752.0,65610.0,56.79227,False,False,0.0,large
St. Lucia,2002,5280.0,161641.0,620.0,4.85,False,False,0.0,small
Sudan,2002,420.0,29228727.0,2505810.0,99.1,False,False,7.0,large
Suriname,2002,1870.0,496551.0,163820.0,8.26719,False,False,3.0,small
Sweden,2002,29130.0,8924958.0,447420.11,0.25,True,False,2.0,medium
Switzerland,2002,40640.0,7284753.0,41290.7,0.0,True,False,5.0,medium
Syria,2002,1060.0,17468332.0,185180.0,32.06623,False,False,5.0,large
Tanzania,2002,410.0,36121304.0,947300.0,77.07039,False,False,8.0,large
Togo,2002,410.0,5413274.0,56790.0,66.02873,False,False,3.0,medium
Tonga,2002,1890.0,103874.0,750.0,1.8,False,False,0.0,small
Trinidad And Tobago,2002,6480.0,1332011.0,5130.0,11.06,False,False,0.0,small
Turkiye,2002,3500.0,67048795.0,785350.0,23.18733,False,False,8.0,large
Turkmenistan,2002,720.0,4769465.0,488100.0,10.5,False,False,4.0,medium
Tuvalu,2002,3430.0,9623.0,30.0,4.25,False,False,0.0,small
Uganda,2002,250.0,25532870.0,241550.0,78.21228,False,False,5.0,large
Ukraine,2002,780.0,48677281.0,603550.0,5.0,False,False,7.0,large
United Arab Emirates,2002,27200.0,3956826.0,98647.9,0.95,True,False,2.0,small
United Kingdom,2002,29260.0,59370479.0,243610.0,0.1,True,False,1.0,large
United States,2002,37320.0,287625193.0,9632030.0,0.2,True,False,0.0,large
Uruguay,2002,5210.0,3278867.0,176220.0,23.7,False,False,2.0,small
Uzbekistan,2002,450.0,25399980.0,444103.0,26.73127,False,False,5.0,large
Vanuatu,2002,1210.0,195863.0,12190.0,4.55,False,False,0.0,small
Venezuela,2002,3940.0,25435671.0,912050.0,26.40689,False,False,3.0,large
Vietnam,2002,430.0,78772224.0,329300.0,40.37283,False,False,3.0,large
Yemen,2002,460.0,20835086.0,527970.0,61.19064,False,False,2.0,large
Zambia,2002,370.0,10647949.0,752610.0,62.23191,False,False,8.0,medium
Zimbabwe,2002,370.0,12087653.0,390760.0,26.92639,False,False,4.0,medium
Albania,2004,2170.0,3026939.0,28750.0,23.0,False,False,4.0,small
Angola,2004,1190.0,18600423.0,1246700.0,19.66039,False,False,4.0,large
Argentina,2004,3340.0,38815916.0,2780400.0,18.84059,False,True,5.0,large
Armenia,2004,1120.0,3164900.0,29740.0,11.81793,False,False,4.0,medium
Aruba,2004,23610.0,95138.0,180.0,0.0,True,False,0.0,small
Australia,2004,25890.0,19932722.0,7741220.0,0.145,True,True,0.0,large
Austria,2004,33610.0,8171966.0,83879.0,4.4,True,False,8.0,medium
Azerbaijan,2004,960.0,8306500.0,86600.0,38.93333,False,False,5.0,medium
